time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput,uav15_pdr,uav15_delay,uav15_throughput,uav16_pdr,uav16_delay,uav16_throughput,uav17_pdr,uav17_delay,uav17_throughput,uav18_pdr,uav18_delay,uav18_throughput,uav19_pdr,uav19_delay,uav19_throughput,uav20_pdr,uav20_delay,uav20_throughput,uav21_pdr,uav21_delay,uav21_throughput,uav22_pdr,uav22_delay,uav22_throughput,uav23_pdr,uav23_delay,uav23_throughput,uav24_pdr,uav24_delay,uav24_throughput,uav25_pdr,uav25_delay,uav25_throughput,uav26_pdr,uav26_delay,uav26_throughput,uav27_pdr,uav27_delay,uav27_throughput,uav28_pdr,uav28_delay,uav28_throughput,uav29_pdr,uav29_delay,uav29_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,0.00115839,50496,0,0,0,0,0,0,1,0.00253273,67328,1,0.00312863,58912,1,0.0029417,50496,1,0.00399798,33664,1,0.0031772,25248,1,0.00313972,16832,1,0.00577565,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.5,0.00127409,67328,0,0,0,0,0,0,1,0.00295535,112213,1,0.00281536,106603,1,0.00273558,100992,1,0.0034208,95381.3,1,0.00260168,84160,1,0.00268998,78549.3,1,0.00318148,72938.7,0.5,0.000812716,33664,0.5,0.00107334,28053.3,1,0.00376542,50496,0.5,0.00106167,22442.7,0.5,0.00132116,19637.3,1,0.00350832,33664,0.5,0.00180739,11221.3,0.5,0.000995933,8416,1,0.00517625,11221.3,1,0.00691807,5610.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.00156933,75744,0,0,0,0,0,0,1,0.00350991,134656,1,0.00328867,130448,1,0.00326417,126240,1,0.00366213,122032,1,0.00271683,117824,1,0.00277907,109408,1,0.00395273,105200,0.5,0.00136558,50496,0.5,0.00101636,48392,1,0.00350465,88368,0.5,0.00124669,42080,0.5,0.00135324,39976,1,0.00306153,75744,0.5,0.00100288,35768,0.5,0.000816279,31560,1,0.0042583,58912,1,0.00348391,54704,0.5,0.00102526,25248,0.5,0.00115638,21040,1,0.00319641,37872,1,0.00479994,33664,0,0,0,0,0,0,0,0,0,0.5,0.00399781,6312,0,0,0,0,0,0
5,0.5,0.00174853,80793.6,0,0,0,0,0,0,1,0.00375053,151488,1,0.00364391,144755,1,0.00376161,141389,1,0.00374725,138022,1,0.00276368,134656,1,0.00280081,131290,1,0.00428677,124557,0.5,0.00142876,60595.2,0.5,0.00101758,58912,1,0.00349107,114458,0.5,0.00140287,53862.4,0.5,0.00159566,52179.2,1,0.00308475,100992,0.5,0.000900451,48812.8,0.5,0.000787995,47129.6,1,0.0042654,87526.4,1,0.00323076,84160,0.5,0.000890278,40396.8,0.5,0.000929763,38713.6,1,0.00311525,70694.4,1,0.00440932,67328,0,0,0,0,0,0,0,0,0,0.5,0.00144322,25248,0,0,0,0,0,0
6,0.491803,0.00195077,84160,0,0,0,0,0,0,1,0.00414581,159904,1,0.0045028,157099,1,0.00405634,151488,1,0.00383591,148683,1,0.00278717,145877,1,0.00292647,143072,0.98,0.00467069,137461,0.5,0.00151549,67328,0.5,0.00102207,65925.3,1,0.00401632,129045,0.5,0.00159171,63120,0.5,0.00174613,60314.7,1,0.00318574,117824,0.5,0.00085798,57509.3,0.5,0.00085492,56106.7,1,0.00396221,109408,1,0.00327372,103797,0.5,0.000851247,50496,0.685714,0.226114,67328,1,0.00325013,95381.3,1,0.00440031,89770.7,0.145161,0.324706,12624,0,0,0,0,0,0,0.5,0.00131121,39274.7,0,0,0,0,0,0
7,0.5,0.00199944,87766.9,0,0,0,0,0,0,1,0.00442536,165915,1,0.00451372,163511,1,0.00424644,161106,1,0.00411976,156297,1,0.00279456,153893,1,0.00294505,151488,1,0.00495449,149083,0.491803,0.00159422,72137.1,0.5,0.00111427,70934.9,1,0.00427806,139465,0.5,0.00155196,68530.3,0.5,0.00175412,67328,1,0.00330158,129847,0.5,0.000834741,63721.1,0.5,0.000837664,62518.9,1,0.00399285,122633,1,0.0032011,120229,0.645833,0.316022,74541.7,0.765957,0.119039,86564.6,1,0.00323456,110610,1,0.00418287,108206,0.244186,0.139591,25248,0,0,0,0,0,0,0.5,0.00116094,48091.4,0,0,0,0,0,0
8,0.5,0.00206861,89420,0,0,0,0,0,0,1,0.00454216,170424,1,0.00453115,168320,1,0.00432197,166216,1,0.00426712,164112,1,0.00280297,159904,1,0.00297816,157800,1,0.0050355,155696,0.5,0.00161156,76796,0.493056,0.00116501,74692,1,0.00440273,147280,0.5,0.00158335,72588,0.5,0.00183034,71536,1,0.00323199,140968,0.5,0.000820082,68380,0.5,0.000870024,67328,1,0.00390966,132552,1,0.00308643,130448,0.713115,0.164967,91524,0.813559,0.081647,100992,1,0.00311318,122032,1,0.00388315,119928,0.303571,0.0865069,35768,0,0,0,0,0,0,0.5,0.00106736,54704,0,0,0,0,0,0
9,0.5,0.00216861,90705.8,0,0,0,0,0,0,1,0.00473705,173931,1,0.00450076,172060,1,0.00441128,170190,1,0.00429454,168320,1,0.00280758,166450,1,0.00299162,162709,1,0.0050399,160839,0.5,0.00155599,79484.4,0.5,0.001218,78549.3,0.987952,0.0045544,153358,0.5,0.00158708,75744,0.5,0.00181839,74808.9,1,0.00326333,147748,0.5,0.000809292,72938.7,0.5,0.000871117,71068.4,1,0.00385793,140267,1,0.00306536,138396,0.767123,0.114974,104732,0.840278,0.0624041,113148,1,0.00316189,130916,1,0.00379246,129045,0.338235,0.0641369,43015.1,0,0,0,0,0,0,0.5,0.00101908,59847.1,0,0,0,0,0,0
10,0.5,0.00220457,91734.4,0,0,0,0,0,0,1,0.00481144,178419,1,0.00448381,175053,1,0.00447215,173370,1,0.00429799,171686,1,0.00281201,170003,1,0.00310226,168320,1,0.00509249,164954,0.5,0.00156437,81635.2,0.5,0.00124283,80793.6,1,0.00479356,159904,0.5,0.00163186,78268.8,0.5,0.00179894,77427.2,1,0.00332963,153171,0.5,0.000802099,75744,0.5,0.000880904,74902.4,1,0.00387274,146438,1,0.00306928,144755,0.8,0.0885367,114458,0.869048,0.050382,122874,0.987952,0.00321688,138022,1,0.00390757,136339,0.3625,0.0510304,48812.8,0,0,0,0,0,0,0.5,0.00113741,63961.6,0,0,0,0,0,0
11,0.5,0.0022155,93341.1,0,0,0,0,0,0,1,0.00485936,180561,1,0.00449072,179031,1,0.00452355,175971,1,0.00433802,174441,1,0.00281609,172911,1,0.00309287,171380,0.995495,0.00514613,169085,0.5,0.00155175,83394.9,0.5,0.00127053,82629.8,1,0.00483239,163729,0.5,0.00160771,81099.6,0.5,0.00183058,79569.5,1,0.00334056,157609,0.5,0.000796598,78039.3,0.5,0.000900106,77274.2,1,0.00389098,153018,1,0.00303868,149958,0.824742,0.0721755,122415,0.885417,0.0427721,130065,1,0.00319488,145367,1,0.00397415,142307,0.380435,0.0424118,53556.4,0,0,0,0,0,0,0.5,0.00114533,68093.1,0,0,0,0,0,0
12,0.5,0.00225491,93978.7,0,0,0,0,0,0,1,0.00492426,182347,1,0.00449248,180944,1,0.00454114,179541,1,0.0043787,176736,1,0.00281821,175333,1,0.00311038,173931,1,0.00512578,172528,0.5,0.00155423,85562.7,0.5,0.00129277,84160,1,0.0048578,166917,0.5,0.00162143,82757.3,0.5,0.00182284,82056,1,0.00333133,161307,0.5,0.000792255,79952,0.5,0.000896509,79250.7,1,0.00389139,157099,1,0.00300228,155696,0.844037,0.0610427,129045,0.898148,0.037286,136059,1,0.0031947,150085,1,0.00399402,148683,0.394231,0.0363157,57509.3,0,0,0,0,0,0,0.5,0.0011432,70834.7,0,0,0,0,0,0
13,0.5,0.00224589,94518.2,0,0,0,0,0,0,1,0.00497279,183857,1,0.00448168,182562,1,0.00455304,181268,1,0.00443362,179973,1,0.00282294,177383,1,0.00311826,176089,1,0.00514591,174794,0.5,0.00157914,86749.5,0.5,0.00132852,86102.2,1,0.00482275,169615,0.5,0.00160131,84160,0.5,0.00187008,83512.6,1,0.00346037,165730,0.5,0.000791453,81570.5,0.5,0.000893539,80923.1,1,0.0040217,160551,1,0.00298518,159257,0.860656,0.0524366,135951,0.908333,0.0331686,141130,1,0.00325559,154078,1,0.00407718,152783,0.405983,0.0314509,61501.5,0,0,0,0,0,0,0.5,0.00112063,73154.5,0,0,0,0,0,0
14,0.5,0.00225337,94980.6,0,0,0,0,0,0,0.993548,0.00503548,185152,1,0.00448035,183950,1,0.00456567,182747,1,0.00444667,181545,1,0.00282316,180343,1,0.00311531,177938,1,0.00515229,176736,0.5,0.00158784,87766.9,0.5,0.00134034,87165.7,0.993056,0.00486257,171927,0.5,0.00161358,85362.3,0.5,0.00185052,84761.1,1,0.00344669,168320,0.5,0.000788076,83558.9,0.5,0.000886553,82356.6,1,0.00403161,163511,1,0.00300029,162309,0.873134,0.0464684,140667,0.917293,0.0296433,146679,1,0.00324373,157499,1,0.00410122,156297,0.414729,0.0280132,64322.3,0,0,0,0,0,0,0.5,0.00111623,75142.9,0,0,0,0,0,0
15,0.5,0.00227421,95381.3,0,0,0,0,0,0,1,0.0051095,187396,0.993976,0.00448766,185152,1,0.0045739,184030,1,0.0044313,182908,1,0.00282335,181786,1,0.0031122,180663,1,0.00518348,178419,0.5,0.00158054,88648.5,0.5,0.00136602,88087.5,1,0.00487538,175053,0.496774,0.00160781,86404.3,0.5,0.00183228,85843.2,1,0.00345946,170564,0.5,0.000785474,84721.1,0.5,0.000883434,84160,1,0.00405964,166076,1,0.00300246,164954,0.883562,0.0417642,144755,0.924138,0.0270293,150366,1,0.00322749,161587,1,0.00409726,159343,0.421986,0.0252672,66766.9,0,0,0,0,0,0,0.5,0.00108937,76866.1,0,0,0,0,0,0
16,0.5,0.00248663,96258,0,0,0,0,0,0,1,0.00514878,188308,1,0.00448627,187256,0.99435,0.00460422,185152,1,0.00442196,184100,1,0.00282479,183048,1,0.00311795,181996,1,0.00574836,180944,0.5,0.00160321,89420,0.5,0.00136478,88894,1,0.00487149,176736,0.5,0.00159349,87842,0.496988,0.00186791,86790,1,0.00347421,172528,0.5,0.000783256,85738,0.5,0.000896862,85212,1,0.00404574,169372,1,0.0030104,167268,0.892405,0.0379985,148332,0.929936,0.0249718,153592,1,0.00322447,164112,0.996774,0.00410006,162534,0.428105,0.0230445,68906,0,0,0,0,0,0,0.5,0.00106043,78900,0,0,0,0,0,0
17,0.5,0.00246625,96536.5,0,0,0,0,0,0,1,0.00518785,189112,1,0.00449771,188122,1,0.00462728,187132,1,0.00441604,185152,1,0.00282657,184162,1,0.0031424,183172,1,0.00571073,182182,0.5,0.00159775,90595.8,0.5,0.00137705,89605.6,1,0.00491696,178221,0.5,0.00159451,88615.5,0.5,0.00184379,88120.5,0.99435,0.00349448,174261,0.5,0.000781342,86635.3,0.5,0.000899142,86140.2,1,0.00405348,171290,1,0.00298548,170300,0.9,0.034884,151488,0.934911,0.0231994,156439,1,0.00320804,166340,1,0.00407319,165350,0.430723,0.0211741,70793.4,0,0,0,0,0,0,0.5,0.00104731,80199.5,0,0,0,0,0,0
18,0.5,0.00247137,96784,0,0,0,0,0,0,1,0.00520616,189828,1,0.00448904,188892,1,0.00462279,187957,1,0.00443379,187022,1,0.00282659,185152,1,0.00313743,184217,1,0.00566478,183282,0.5,0.00159479,91173.3,0.5,0.00137689,90705.8,1,0.00492275,179541,0.5,0.00158571,89303.1,0.5,0.0018305,88835.6,1,0.00346542,176736,0.5,0.000779673,87432.9,0.5,0.000897431,86965.3,1,0.00402022,172996,1,0.0029616,172060,0.907104,0.0320863,155228,0.939227,0.021694,158969,1,0.00320592,168320,1,0.00404504,167385,0.438202,0.0194725,72938.7,0,0,0,0,0,0,0.5,0.00102718,81354.7,0,0,0,0,0,0
19,0.5,0.00246225,97005.5,0,0,0,0,0,0,0.99537,0.0052104,190467,1,0.00448661,189581,1,0.00465838,188696,1,0.00444666,187810,1,0.00282724,186924,1,0.00313903,185152,1,0.00566956,184266,0.5,0.00160538,91690.1,0.5,0.00136643,91247.2,0.997561,0.0049208,181165,0.5,0.00161903,89918.3,0.5,0.00185184,89475.4,1,0.00344238,178065,0.5,0.000778092,88589.5,0.5,0.000898832,87703.6,1,0.00402621,174521,1,0.00295147,173635,0.912821,0.029908,157689,0.943299,0.0203282,162119,1,0.00320966,170092,1,0.0040182,169206,0.442105,0.0181356,74415.2,0,0,0,0,0,0,0.5,0.00103295,82388.2,0,0,0,0,0,0
20,0.5,0.00243595,97204.8,0,0,0,0,0,0,1,0.00525016,191885,0.997797,0.00446635,190622,1,0.00470704,189360,1,0.00445983,188518,1,0.00282631,187677,1,0.00312855,186835,1,0.00568665,185152,0.5,0.00160845,92155.2,0.5,0.00138137,91734.4,1,0.00489703,182627,0.497685,0.00163606,90472,0.5,0.00185598,90051.2,1,0.00343507,179261,0.5,0.000776804,89209.6,0.5,0.000905346,88788.8,1,0.00400321,175894,1,0.00293282,175053,0.917874,0.0280351,159904,0.946602,0.0192191,164112,0.997561,0.00319234,172107,1,0.00396302,170845,0.445545,0.0169769,75744,0,0,0,0,0,0,0.5,0.00101613,83318.4,0,0,0,0,0,0
21,0.5,0.00261209,97785.9,0,0,0,0,0,0,1,0.0052346,192366,1,0.00446558,191564,0.995798,0.00469085,189961,1,0.00446166,189160,1,0.00282743,188358,1,0.0031299,187557,1,0.00566377,186755,0.5,0.00161222,92576,0.5,0.00137628,92175.2,1,0.00494419,183549,0.5,0.00163174,91373.7,0.5,0.00187651,90973,1,0.00343001,180343,0.5,0.000775654,89770.7,0.5,0.000920056,89369.9,1,0.00396903,177938,1,0.00292181,176335,0.922374,0.0264009,161908,0.949541,0.0182914,165915,1,0.00319994,173931,1,0.00391812,173129,0.448598,0.0159631,76946.3,0,0,0,0,0,0,0.5,0.00100314,84560.8,0,0,0,0,0,0
22,0.5,0.00260005,97931.6,0,0,0,0,0,0,1,0.00527864,192803,1,0.00446917,192038,1,0.00469053,191273,0.995984,0.00448519,189743,1,0.00282803,188977,1,0.00312884,188212,1,0.00563995,187447,0.5,0.00162294,93341.1,0.5,0.00138854,92576,1,0.00493716,184387,0.5,0.00162636,91810.9,0.5,0.00190548,91428.4,0.997899,0.00340624,181709,0.5,0.000774622,90280.7,0.5,0.000917085,89898.2,1,0.00395101,179031,1,0.0029227,178266,0.926407,0.0249477,163729,0.952174,0.0173932,167555,1,0.00319955,175206,1,0.00386023,174441,0.451542,0.0150131,78421.8,0,0,0,0,0,0,0.5,0.000992159,85307.6,0,0,0,0,0,0
23,0.5,0.00259097,98064.7,0,0,0,0,0,0,1,0.0052965,193202,1,0.00447437,192470,1,0.00469269,191738,1,0.00447618,191007,0.996154,0.0028286,189543,1,0.0031336,188811,1,0.00562203,188079,0.5,0.00161802,93673.7,0.5,0.00139073,93307.8,1,0.00493758,185152,0.5,0.00164153,92210.1,0.5,0.00190469,91844.2,1,0.00340837,182957,0.5,0.000773615,91112.3,0.5,0.000920371,90380.5,1,0.00397492,180029,1,0.00292404,179297,0.930328,0.023569,166125,0.954545,0.0166253,169052,1,0.00318609,176370,1,0.00390072,175638,0.453975,0.0142247,79403.1,0,0,0,0,0,0,0.5,0.000992435,85989.6,0,0,0,0,0,0
24,0.5,0.0025704,98186.7,0,0,0,0,0,0,1,0.00530907,194269,1,0.00447614,192867,1,0.00468978,192165,1,0.00449168,191464,1,0.00282874,190763,1,0.00312797,189360,1,0.00560985,188659,0.5,0.00160579,93978.7,0.5,0.00139174,93628,0.99812,0.00491411,186204,0.5,0.00163361,92576,0.5,0.00187868,92225.3,1,0.00339793,183749,0.5,0.000772775,91524,0.498077,0.000913872,90822.7,1,0.00396051,180944,1,0.00291854,180243,0.933594,0.0224425,167619,0.956863,0.0158923,171125,1,0.00318032,177437,1,0.00389278,176736,0.456175,0.0135189,80302.7,0,0,0,0,0,0,0.5,0.000980921,86614.7,0,0,0,0,0,0
25,0.5,0.00256408,98298.9,0,0,0,0,0,0,1,0.00531365,194578,0.998264,0.00448179,193568,1,0.00472099,192558,1,0.00448475,191885,1,0.00282964,191212,1,0.0031292,190538,1,0.00560319,189192,0.5,0.0015951,94259.2,0.5,0.00139232,93922.6,1,0.00491038,187172,0.5,0.00161829,93249.3,0.5,0.00187204,92576,1,0.00339913,184479,0.5,0.000772009,91902.7,0.5,0.000908354,91566.1,1,0.00395696,181786,1,0.0029145,181112,0.936567,0.0214304,168993,0.958801,0.0152895,172360,1,0.00318698,179092,1,0.00386919,177746,0.458175,0.0128834,81130.2,0,0,0,0,0,0,0.498077,0.000970474,87189.8,0,0,0,0,0,0
26,0.5,0.0025409,98726.2,0,0,0,0,0,0,1,0.00530474,194863,1,0.00447717,194215,1,0.0047413,193568,1,0.0044756,192273,1,0.00283094,191626,1,0.00313215,190978,1,0.0056088,190331,0.5,0.0015998,94518.2,0.5,0.001393,94194.5,1,0.00492854,187742,0.5,0.00161166,93547.1,0.5,0.0018806,93223.4,1,0.0034028,185152,0.5,0.000771307,92252.3,0.5,0.000906392,91928.6,1,0.00393984,183210,1,0.00291216,181915,0.939286,0.0205231,170262,0.960573,0.0147274,173499,1,0.0031896,179973,1,0.00385358,179326,0.46,0.0123081,81894.2,0,0,0,0,0,0,0.5,0.000971047,88044.3,0,0,0,0,0,0
27,0.5,0.00253463,98810.1,0,0,0,0,0,0,1,0.00533053,195127,1,0.00448791,194503,1,0.00475179,193880,0.998387,0.00447667,192945,1,0.00283115,192009,1,0.00315064,191386,1,0.00565193,190763,0.5,0.0016036,95069.6,0.5,0.00139955,94446.2,1,0.00499923,188269,0.5,0.00162455,93822.8,0.5,0.00188019,93511.1,1,0.00340474,186399,0.5,0.000770662,92576,0.5,0.00090775,92264.3,1,0.00396917,183905,1,0.00290829,183282,0.941781,0.0196959,171437,0.962199,0.0142068,174554,1,0.0031893,180788,1,0.00385944,180165,0.461806,0.0117435,82913.2,0,0,0,0,0,0,0.5,0.000976658,88523.9,0,0,0,0,0,0
28,0.5,0.00252128,98888,0,0,0,0,0,0,1,0.00534515,195371,1,0.00447798,194770,1,0.00475784,194169,1,0.00448943,193568,0.998442,0.00283156,192666,1,0.00316628,191765,1,0.00563262,191163,0.5,0.00159425,95281.1,0.5,0.00141203,94980.6,1,0.00503382,188759,0.5,0.00163113,94078.9,0.5,0.00185901,93778.3,1,0.00340093,186955,0.5,0.000770019,93177.1,0.5,0.00090455,92576,1,0.00396924,184551,1,0.00290562,183950,0.944262,0.0188817,173129,0.963696,0.0137283,175534,1,0.00318133,181545,1,0.00385444,180944,0.463333,0.0112692,83558.9,0,0,0,0,0,0,0.5,0.000967689,88969.1,0,0,0,0,0,0
29,0.5,0.0024991,98960.6,0,0,0,0,0,0,1,0.00534827,196180,1,0.004479,195019,1,0.00474862,194439,1,0.00448913,193858,1,0.00283173,193278,0.996988,0.00316011,192117,1,0.00562616,191537,0.5,0.00158723,95478.1,0.5,0.00141731,95187.9,1,0.00505495,189795,0.5,0.00162967,94317.2,0.5,0.00185157,94027,1,0.00340286,187474,0.5,0.000769472,93446.6,0.498442,0.000902004,92866.2,1,0.00395125,185152,1,0.00290399,184572,0.946372,0.0182023,174124,0.96519,0.0132724,177026,1,0.00317137,182250,1,0.00382839,181670,0.464744,0.0108341,84160,0,0,0,0,0,0,0.5,0.000959419,89383.7,0,0,0,0,0,0
30,0.498588,0.00248719,99028.3,0,0,0,0,0,0,1,0.00535644,196373,1,0.00447637,195812,1,0.00476396,194690,1,0.00447921,194129,1,0.00283214,193568,1,0.00317334,193007,0.997085,0.00560524,191885,0.5,0.00158639,95661.9,0.5,0.00142008,95381.3,1,0.00506379,190202,0.5,0.0016292,94820.3,0.5,0.00184641,94259.2,1,0.00342924,187957,0.5,0.000768965,93698.1,0.5,0.000925245,93417.6,0.998494,0.0039602,185994,1,0.00289436,185152,0.948328,0.0175723,175053,0.966463,0.0128931,177858,1,0.00317193,183469,1,0.0038051,182347,0.466049,0.0104337,84721.1,0,0,0,0,0,0,0.5,0.0009531,90051.2,0,0,0,0,0,0
